votetsai,green,kmt,dpp,pfp,npp,noparty,unify,indep,statusquo,edu,taiwanese,income,age,south,dadmainland,female,econworse,inequality,pubwelf
0,0,0,0,0,0,1,0,0,1,5,1,,44,0,0,0,0,1,1
1,1,0,1,0,0,0,0,1,0,5,1,10,22,0,0,0,1,1,1
0,0,0,0,0,0,1,0,0,1,5,0,7,51,0,0,1,1,1,1
0,0,1,0,0,0,0,1,0,0,3,0,,100,0,1,0,1,1,0
1,1,0,1,0,0,0,0,1,0,2,1,1,72,1,0,0,1,1,0
0,0,0,0,0,0,1,0,0,1,3,0,1,74,1,0,1,1,1,0
1,1,0,1,0,0,0,0,1,0,2,1,8,56,1,0,1,1,1,1
0,0,1,0,0,0,0,0,0,1,3,1,1,49,1,0,1,0,1,0
0,0,1,0,0,0,0,0,0,1,4,1,2,49,1,0,1,1,1,1
1,1,0,1,0,0,0,0,1,0,3,1,4,70,1,0,0,1,1,0
1,0,0,0,0,0,1,1,0,0,1,1,1,74,1,0,1,1,1,0
1,1,0,0,0,1,0,0,1,0,5,1,5,22,1,0,0,0,1,0
1,1,0,1,0,0,0,0,0,1,1,1,1,60,1,0,0,0,1,0
0,0,1,0,0,0,0,0,0,1,5,0,3,42,1,0,1,0,1,1
0,0,0,0,0,0,1,1,0,0,3,1,5,47,1,0,0,1,1,0
1,1,0,1,0,0,0,0,0,1,5,1,5,31,1,0,1,1,1,1
1,1,0,1,0,0,0,0,1,0,5,1,7,35,1,0,0,1,1,1
1,1,0,1,0,0,0,0,1,0,3,1,4,44,1,0,0,0,1,1
0,0,1,0,0,0,0,0,0,1,3,1,1,51,1,1,1,0,1,0
1,0,0,0,0,0,1,0,1,0,3,0,1,45,1,0,1,1,1,0
0,0,0,0,0,0,1,0,0,1,5,1,,25,1,0,0,1,1,0
0,0,1,0,0,0,0,1,0,0,3,1,1,59,1,0,1,0,1,0
0,0,0,0,0,0,1,0,0,1,1,0,,35,1,0,1,0,1,0
0,0,0,0,0,0,1,0,0,1,5,0,3,64,1,1,0,1,1,1
1,1,0,1,0,0,0,0,0,1,3,0,3,62,1,0,1,1,1,0
0,0,1,0,0,0,0,0,0,1,3,0,1,49,1,0,0,1,1,1
0,0,1,0,0,0,0,0,0,1,3,1,2,49,1,0,1,1,1,1
0,0,0,0,0,0,1,0,0,1,3,1,3,46,1,0,1,0,1,1
0,0,1,0,0,0,0,1,0,0,1,0,9,61,1,0,1,1,1,1
0,0,1,0,0,0,0,0,0,1,1,1,,80,1,0,1,0,1,1
0,0,0,0,0,0,1,0,0,1,2,1,,59,1,0,0,1,1,0
1,0,0,0,0,0,1,0,0,1,5,0,,22,1,0,0,0,1,1
1,1,0,1,0,0,0,0,1,0,5,1,5,28,1,0,1,0,1,1
1,1,0,1,0,0,0,0,0,1,3,0,1,64,1,0,1,0,1,1
1,1,0,1,0,0,0,0,0,1,3,1,6,58,1,0,1,1,1,0
1,1,0,1,0,0,0,0,0,1,2,1,8,57,1,0,0,0,1,0
0,0,0,0,0,0,1,0,0,0,3,0,,64,1,0,0,1,1,1
1,0,0,0,0,0,1,0,0,1,3,1,3,40,1,0,0,1,1,0
1,0,1,0,0,0,0,0,0,1,5,1,10,24,1,0,0,1,1,0
0,1,0,0,0,1,0,0,1,0,5,1,,33,1,0,1,1,1,1
0,0,1,0,0,0,0,1,0,0,4,0,4,61,1,1,0,0,1,1
1,1,0,1,0,0,0,0,0,1,1,1,,65,1,0,1,1,1,0
1,1,0,1,0,0,0,1,0,0,5,1,7,53,1,0,0,1,1,1
1,1,0,1,0,0,0,0,1,0,5,1,9,34,1,0,0,0,1,1
1,0,0,0,0,0,1,0,1,0,1,1,1,59,1,0,1,1,1,0
0,0,1,0,0,0,0,0,0,1,3,0,8,55,1,0,0,1,1,1
1,1,0,1,0,0,0,0,1,0,4,1,,61,1,0,0,1,1,1
1,1,0,1,0,0,0,0,1,0,2,1,4,48,1,0,0,1,1,0
1,0,0,0,0,0,1,0,0,0,1,0,,81,1,0,1,0,1,0
1,1,0,1,0,0,0,0,0,0,5,0,5,64,1,0,0,1,1,0
0,0,1,0,0,0,0,0,0,1,1,0,1,91,1,1,0,1,1,0
1,0,1,0,0,0,0,0,1,0,3,1,6,35,1,0,0,0,1,0
1,1,0,1,0,0,0,0,1,0,1,1,,65,1,0,1,1,1,1
1,0,0,0,0,0,1,0,1,0,5,1,8,43,1,0,0,1,1,1
0,0,1,0,0,0,0,0,0,1,3,0,2,52,1,0,1,1,1,1
0,0,0,0,0,0,1,0,0,1,1,1,,55,1,0,1,1,1,0
0,0,0,0,0,0,1,0,0,1,4,1,,33,1,0,0,0,1,1
0,0,0,0,0,0,1,0,0,1,3,1,,35,1,0,1,1,1,1
0,0,0,0,0,0,1,0,0,1,2,1,,53,1,0,0,1,1,0
0,0,0,0,0,0,1,0,0,1,3,1,,39,1,0,0,1,1,0
1,1,0,1,0,0,0,1,0,0,1,1,6,63,0,0,0,1,1,0
0,0,1,0,0,0,0,1,0,0,5,1,10,60,0,0,0,1,1,1
0,1,0,1,0,0,0,0,1,0,2,0,8,56,0,0,0,1,1,0
1,1,0,1,0,0,0,0,0,1,4,0,,42,0,0,0,1,1,0
0,0,0,0,0,0,1,0,0,0,5,0,6,55,0,0,1,1,1,0
0,0,1,0,0,0,0,0,0,1,5,1,,61,0,1,1,1,1,0
1,1,0,1,0,0,0,0,1,0,3,1,7,53,0,0,1,1,1,0
0,0,0,0,0,0,1,0,1,0,2,0,1,75,0,0,0,1,1,0
1,1,0,1,0,0,0,0,0,1,5,0,10,40,0,0,0,1,1,0
0,0,0,0,1,0,0,0,0,1,3,0,5,42,0,0,0,0,1,1
1,1,0,1,0,0,0,0,1,0,1,1,1,57,0,0,1,0,1,1
0,0,1,0,0,0,0,0,0,1,5,1,3,26,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,1,5,0,,41,0,0,0,1,1,1
1,1,0,1,0,0,0,1,0,0,3,0,9,73,0,0,0,0,1,0
0,0,0,0,0,0,1,0,0,1,3,1,9,27,0,0,0,0,1,0
0,0,1,0,0,0,0,0,0,1,5,0,7,34,0,0,0,0,1,1
1,1,0,1,0,0,0,0,0,1,1,1,6,66,0,0,1,1,1,0
0,0,0,0,1,0,0,0,0,1,5,0,7,42,0,0,1,0,1,1
0,0,1,0,0,0,0,1,0,0,3,0,2,67,0,1,0,0,1,1
0,0,1,0,0,0,0,0,0,1,5,1,7,44,0,0,1,1,1,1
1,1,0,1,0,0,0,0,0,1,2,1,4,48,0,0,0,1,1,0
0,0,0,0,0,0,1,0,0,1,3,1,3,40,0,1,1,0,1,0
0,0,1,0,0,0,0,0,0,1,4,0,8,51,0,1,0,0,1,1
0,0,0,0,0,0,1,0,0,1,3,0,7,62,0,0,1,1,1,1
0,0,1,0,0,0,0,0,0,1,3,0,5,46,0,1,1,1,0,1
0,0,0,0,1,0,0,0,1,0,4,1,7,55,0,1,0,0,0,1
0,0,1,0,0,0,0,0,1,0,5,1,5,21,0,0,1,0,1,1
0,0,0,0,0,0,1,0,0,1,5,0,3,49,0,0,0,1,1,1
0,0,0,0,0,0,1,0,0,1,5,0,,32,0,0,0,0,0,0
